claim,method,seed,steps,samples,validity,uniqueness,fcd,node_count_9_fraction,wall_seconds,run_id,experiment_id
few_step,distilled_efm,0,2,10000,0.9101,0.10394462,16.16540782,1.0000,721.81998,d0115d0c-ee25-4ba3-a0f4-202f26c96af9,042812d8-86d3-419b-8547-e6e31a1b7ed2
few_step,distilled_efm,1,2,10000,0.9302,0.16910342,13.60588867,1.0000,727.13547,4d7d9337-1258-4b69-963a-30273539ef26,d81393e9-a4b0-45e6-991f-3229b07837de
few_step,distilled_fixed,0,2,10000,0.8452,0.22539044,12.67774020,0.9522,709.09486,1b63399b-74d8-478e-a770-adb110adc543,a8c7d511-c270-4868-8d23-5508ef102e91
few_step,distilled_fixed,1,2,10000,0.7186,0.29724464,11.22880326,0.8419,721.31992,7655dc08-ce50-4cc4-96dc-565481ce3e80,49a167c6-75b3-4df0-995c-78f112529010
few_step,distilled_insertion_disabled,0,2,10000,0.8451,0.27192048,11.46680516,1.0000,721.16613,c2689b6d-4b50-4427-a10c-22b989563c00,b29800a9-78f6-4b73-aa66-b13f730b310d
few_step,distilled_insertion_disabled,1,2,10000,0.8936,0.42658908,9.81241427,1.0000,714.38417,c1a19a25-1aca-4035-9aad-3aeb3c775339,39f31d78-99fa-47ba-a1e0-e9a195830b1f
multi_step,eflow,0,4,10000,0.9082,0.22340894,11.67912986,0.9956,541.21795,08fd1bad-0dd5-4d1d-88d3-c9bd6cc9e9b4,4b68ee39-532d-4001-9c2b-5bca10c9ae60
multi_step,eflow,0,10,10000,0.8726,0.32867293,9.18227433,0.9874,541.21795,08fd1bad-0dd5-4d1d-88d3-c9bd6cc9e9b4,4b68ee39-532d-4001-9c2b-5bca10c9ae60
multi_step,eflow,1,4,10000,0.8857,0.26487524,10.93667093,0.9933,530.95400,b0f480a6-10a5-4004-bad1-37ea1b538307,10dc7ede-aeed-40e5-abf3-467d32e22b33
multi_step,eflow,1,10,10000,0.8577,0.38440014,8.93412396,0.9914,530.95400,b0f480a6-10a5-4004-bad1-37ea1b538307,10dc7ede-aeed-40e5-abf3-467d32e22b33
multi_step,fixed,0,4,10000,0.5780,0.97283737,2.59483867,0.8382,533.74476,303d1d95-b8ef-499e-812d-77697fd6e463,efbaa552-1b3c-4387-acb3-4ed189f7ce84
multi_step,fixed,0,10,10000,0.6841,0.97295717,2.30671058,0.8515,533.74476,303d1d95-b8ef-499e-812d-77697fd6e463,efbaa552-1b3c-4387-acb3-4ed189f7ce84
multi_step,fixed,1,4,10000,0.4578,0.98470948,2.28778478,0.7644,526.35002,fd1280ea-3252-48ca-a9ae-4832d0962a9f,42896c8f-a649-437d-9920-cfb56cc73fd8
multi_step,fixed,1,10,10000,0.5563,0.98472047,1.78443251,0.7682,526.35002,fd1280ea-3252-48ca-a9ae-4832d0962a9f,42896c8f-a649-437d-9920-cfb56cc73fd8
